id,commune,region_id,created_at,updated_at
1,Antofagasta,2,2022-08-01 17:34:37-04,
2,Calama,2,2022-07-06 12:30:00-04,
3,Mejillones,2,2022-07-06 12:30:00-04,
4,San Pedro de Atacama,2,2022-07-06 12:30:00-04,
5,Taltal,2,2022-07-06 12:30:00-04,
6,Tocopilla,2,2022-07-06 12:30:00-04,
7,Arica,15,2022-07-06 12:30:00-04,
8,Putre,15,2022-07-06 12:30:00-04,
9,Caldera,3,2022-07-06 12:30:00-04,
10,Chañaral,3,2022-07-06 12:30:00-04,
11,Copiapó,3,2022-10-19 14:39:37-03,
12,Diego de Almagro,3,2022-07-06 12:30:00-04,
13,Huasco,3,2022-07-06 12:30:00-04,
14,Tierra Amarilla,3,2022-07-06 12:30:00-04,
15,Vallenar,3,2022-07-06 12:30:00-04,
16,Aysén,11,2022-07-06 12:30:00-04,
17,Chile Chico,11,2022-07-06 12:30:00-04,
18,Cochrane,11,2022-07-06 12:30:00-04,
19,Coyhaique,11,2023-03-06 13:24:33-03,
20,Arauco,8,2022-07-06 12:30:00-04,
22,Cabrero,8,2022-07-06 12:30:00-04,
24,Cañete,8,2022-07-06 12:30:00-04,
25,Chiguayante,8,2022-07-06 12:30:00-04,
26,Concepción,8,2022-07-06 12:30:00-04,
27,Coronel,8,2022-07-06 12:30:00-04,
28,Curanilahue,8,2022-07-06 12:30:00-04,
29,Hualpén,8,2022-07-06 12:30:00-04,
30,Hualqui,8,2022-07-06 12:30:00-04,
31,Laja,8,2022-07-06 12:30:00-04,
32,Lebu,8,2022-07-06 12:30:00-04,
33,Los Álamos,8,2022-07-06 12:30:00-04,
34,Los Ángeles,8,2022-07-06 12:30:00-04,
35,Lota,8,2022-07-06 12:30:00-04,
36,Mulchén,8,2022-07-06 12:30:00-04,
37,Nacimiento,8,2022-07-06 12:30:00-04,
38,Penco,8,2022-07-06 12:30:00-04,
39,San Pedro de la Paz,8,2022-07-06 12:30:00-04,
40,Santa Bárbara,8,2022-07-06 12:30:00-04,
41,Santa Juana,8,2022-07-06 12:30:00-04,
42,Talcahuano,8,2022-07-06 12:30:00-04,
43,Tome,8,2022-07-13 10:39:13-04,
44,Tucapel,8,2022-07-06 12:30:00-04,
45,Yumbel,8,2022-07-06 12:30:00-04,
46,Andacollo,4,2022-07-06 12:30:00-04,
47,Combarbalá,4,2022-07-06 12:30:00-04,
48,Coquimbo,4,2022-07-06 12:30:00-04,
50,Illapel,4,2022-07-06 12:30:00-04,
51,La Serena,4,2022-07-06 12:30:00-04,
